,Name,Publisher,Author,Year
418,Mastering social media mining with python : acquire and analyze data from all corners of the social web with Python,Packt Publishing,Marco Bonzanini,2016
419,B2B-Online-Marketing und Social Media: Ein Praxisleitfaden,Gabler Verlag,"Ralf T. Kreutzer, Andrea Rumler, Benjamin Wille-Baumkauff (auth.)",2015
420,The Linked Photographers' Guide to Online Marketing and Social Media,"Lindsay Renee Adler, Rosh Sillars","Lindsay Renee Adler, Rosh Sillars",2010
421,Leave Your Mark: Land Your Dream Job. Kill It in Your Career. Rock Social Media.,Grand Central Publishing,"Kerpen, Dave, Licht, Aliza",2018
422,RussiaGate and Propaganda: Disinformation in the Age of Social Media,Routledge,Oliver Boyd-Barrett,2019
423,Digital Trust: Social Media Strategies to Increase Trust and Engage Customers,Bloomsbury Business,Barry Connolly,2020
424,Human-Centered Social Media Analytics,Springer International Publishing,Yun Fu (eds.),2014
425,Social Media Entertainment: The New Intersection of Hollywood and Silicon Valley (Postmillennial Pop),NYU Press,"Stuart Cunningham, David Craig",2019
426,"''Power of visual storytelling: how to use visuals, videos, and social media to market your brand''",McGraw-Hill Education,"Gioglio, Jessica, Walter, Ekaterina",2014
427,Hallyu 2.0: The Korean Wave in the Age of Social Media,University of Michigan Press,Sangjoon Lee and Abé Mark Nornes,2015
428,Unlike Us Reader: Social Media Monopolies and Their Alternatives,Institute of Network Cultures,Geert Lovink and Miriam Rasch,2013
429,Social Media Strategy in Policing: From Cultural Intelligence to Community Policing,Springer International Publishing,"Babak Akhgar, Petra Saskia Bayerl, George Leventakis",2019
430,Mining the Social Web,"O'Reilly Media, Inc.","Mikhail Klassen, Matthew A. Russell",2019
431,"Social Theory: After The Internet Media, Technology, And Globalization",UCL Press,Ralph Schroeder,2018
432,Social Media Metrics: How to Measure and Optimize Your Marketing Investment (New Rules Social Media Series),Wiley,Jim Sterne,2010
433,"Emotions, Technology, and Social Media",Academic Press,Sharon Tettegah,2016
434,Social Media for Trainers: Techniques for Enhancing and Extending Learning,Pfeiffer,Jane Bozarth,2010
435,Social Media for Writers: Marketing Strategies for Building Your Audience and Selling Books,Writers Digest Books,"Tee Morris, Pip Ballantine",2015
436,Inhuman Networks: Social Media and the Archaeology of Connection,Bloomsbury,Grant Bollmer,2016
437,Share This: the Social Media Handbook for PR Professionals,Wiley,CIPR (Chartered Institute of Public Relations),2012
438,"Social Media 101: Awakening the Dinosaur: How to Use Social Media Platforms. Where, What, and How... A Beginner’s Guide","Daniel Zane Bryan [Bryan, Daniel Zane]","Daniel Zane Bryan [Bryan, Daniel Zane]",2021
439,"Designing Social Interfaces: Principles, Patterns, and Practices for Improving the User Experience",O'Reilly Media,"Christian Crumlish, Erin Malone",2014
440,Social Media Marketing: Manuale di comunicazione aziendale 2.0 (Italian Edition),Hoepli,"Fraia, Guido Di [Fraia, Guido Di]",2012
441,Tell Me About Yourself: Personal Branding and Social Media Recruiting in the Brave New Online World,Business Expert Press,Stavros Papakonstantinidis,2018
442,"The impact of social media on the Arab uprisings: The Facebook, Twitter, and YouTube revolutions?",Norris Pippa.,Norris Pippa.,english
443,Create And Be Seen: A complete guide to Social Media Marketing,National Library of South Africa,Marlize Marais,2021
444,Putting the Public Back in Public Relations: How Social Media Is Reinventing the Aging Business of PR,FT Press,"Brian Solis, Deirdre Breakenridge",2009
445,"Business Models for the Social Mobile Cloud: Transform Your Business Using Social Media, Mobile Internet, and Cloud Computing",Wiley,Ted Shelton(auth.),2013
446,"The Rise of the Social Sciences and the Formation of Modernity: Conceptual Change in Context, 1750–1850",Springer Science+Business Media Dordrecht,"Johan Heilbron, Lars Magnusson, Björn Wittrock (eds.), Peter Hanns Reill, Randall Collins, Keith Tribe, Éric Brian, Michael Donnelly (auth.), ",1998
447,"How Algorithms Create and Prevent Fake News: Exploring the impacts of Social Media, Deepfakes, GPT-3, and More",Apress,Noah Giansiracusa,2021
448,The Social Media Reader,NYU Press,Michael Mandiberg,2012
449,Liberation Technology Social Media and the Struggle for Democracy,Johns Hopkins University Press,"Marc F. Plattner, Larry Jay Diamond, ",2012
450,"Pain Generation: Social Media, Feminist Activism, and the Neoliberal Selfie",New York University Press,L. Ayu Saraswati,2021
451,"How Algorithms Create and Prevent Fake News: Exploring the Impacts of Social Media, Deepfakes, GPT-3, and More",Apress,Noah Giansiracusa,2021
452,"Social BOOM!: How to Master Business Social Media to Brand Yourself, Sell Yourself, Sell Your Product, Dominate Your Industry Market, Save Your Butt, ... and Grind Your Competition into the Dirt",FT Press,Jeffrey Gitomer,2011
453,"Television in India: Satellites, Politics and Cultural Change (Media, Culture and Social Change in Asia Series)",Routledge,Nalin Mehta,2008
454,Beyond Slacktivism: Political Participation on Social Media,"Springer International Publishing,Palgrave Macmillan",James Dennis,2019
455,Social Media 101: Tactics and Tips to Develop Your Business Online,Chris Brogan,Chris Brogan,2010
456,"Erfolgreiches Social Media Marketing: Konzepte, Maßnahmen und Praxisbeispiele",Gabler Verlag,"Michael Ceyp, Juhn-Petter Scupin (auth.)",2013
457,"Pioneers of Digital: Success Stories from Leaders in Advertising, Marketing, Search and Social Media",Kogan Page,"Paul Springer, Mel Carson",2012
458,Médias et société - la perspective de la communication sociale,Presses de l'Université du Québec,Jason Luckerhoff,2016
459,"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing",Entrepreneur Press,"Dan S. Kennedy, Kim Walsh-Phillips",2015
460,Socialnomics: How Social Media Transforms the Way We Live and Do Business,Wiley,Erik Qualman,2009
461,Interactive Multimedia Learning: Using Social Media for Peer Education in Single-Player Educational Games,Springer International Publishing,Johannes Konert (auth.),2015
462,Social Media: Usage and Impact,Lexington Books,"Hana S. Noor Al-Deen, John Allen Hendricks",2011
463,"Content Nation: Surviving and Thriving as Social Media Changes Our Work, Our Lives, and Our Future",Wiley,John Blossom,2009
464,"Embracing Technology: Get Tech-Savvy by Learning About Your Computer, Smartphone, Internet, and Social Media Applications (English Edition)",BPB Publications,"Grover, Maniik R",2021
465,The Dark Side of Social Media: A Consumer Psychology Perspective,Routledge,Angeline Close Scheinbaum (editor),2017
466,The Power of Real-Time Social Media Marketing: How to Attract and Retain Customers and Grow the Bottom Line in the Globally Connected World,McGraw-Hill,"Beverly Macy, Teri Thompson",2010
467,"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",Shekhar mishra,Shekhar mishra,2018
468,New Korean Wave: Transnational Cultural Power in the Age of Social Media,University of Illinois Press,Dal Yong Jin,2016
469,"Advanced Social Media Marketing: How to Lead, Launch, and Manage a Successful Social Media Program",Apress,Tom Funk (auth.),2013
470,"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",Shekhar mishra,Shekhar mishra,2018
471,A Therapist's Guide to Treating Eating Disorders in a Social Media Age,W. W. Norton & Company,Shauna Frisbie,2020
472,"I'm a Therapist, and My Patient is a Vegan Terrorist: 6 Deadly Social Media Influencers",Dr. Harper,Dr. Harper,2020
473,Big Data Analytics in Cognitive Social Media and Literary Texts: Theory and Praxis,Springer,"Sanjiv Sharma, Valiur Rahaman, G.R. Sinha",2021
474,Social Media Generation in Urban China: A Study of Social Media Use and Addiction among Adolescents,Springer-Verlag Berlin Heidelberg,Hanyun Huang (auth.),2014
475,Breeding His Social Media Slut Daughter,I Luv SmutBux,Zee DeeDee,english
476,Museum Communication and Social Media: The Connected Museum,Routledge,"Kirsten Drotner, Kim Christian Schrøder",2013
477,"Modern Marketing Resh: Maximizing Your Modern Marketing Skills, Making More Money, SEO, Social Media, Internet Marketing",FreniQ Books,"Odame, Paul, Jubi, Gloria",2015
478,Analyzing Social Media Networks with NodeXL: Insights from a Connected World,Morgan Kaufmann,"Derek Hansen, Ben Shneiderman, Marc A. Smith",2010
479,Critical Theory and Social Media: Between Emancipation and Commodification,Routledge,Thomas  Allmer,2015
480,Ideology and the Image: Social Representation in the Cinema and Other Media,Indiana University Press,Bill Nichols,1981
481,Algorithmic Desire: Toward a New Structuralist Theory of Social Media,Northwestern University Press,Matthew Flisfeder,2021
482,Social Media Marketing Workbook: How to Use Social Media for Business,CreateSpace Independent Publishing Platform,Jason McDonald,2018
483,Automatic Detection of Irony: Opinion Mining in Microblogs and Social Media,Wiley-ISTE,"Jihen Karoui, Farah Benamara, Véronique Moriceau",2019
484,The Limitations of Social Media Feminism: No Space of Our Own,Palgrave Macmillan,Jessica Megarry,2020
485,Influence: How Social Media Influencers Are Shaping Our Digital Future,Bloomsbury Publishing,Sara McCorquodale,2019
486,"i-Minds: How Cell Phones, Computers, Gaming, and Social Media are Changing our Brains, our Behavior, and the Evolution of our Species",New Society Publishers,Mari Swingle,2016
487,The Right People: The Social Establishment in America,Open Road Media,"Birmingham, Stephen",2015
488,Social Media and Electronic Commerce Law,Cambridge University Press,Alan Davidson,2016
489,"The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly",Wiley,David Meerman Scott,2013
490,"Media Effects and Beyond: Culture, Socialization and Lifestyles",Routledge,Karl Erik Rosengren,1994
491,"The Everything Guide to Understanding Socialism: The political, social, and economic concepts behind this complex theory (Everything Series)",Adams Media,Pamela Toler,2011
492,The PayPal Official Insider Guide to Selling with Social Media: Make money through viral marketing,Peachpit Press,Brian Proffitt,2011
493,An Introduction to Social Media Marketing,Routledge,Alan Charlesworth,2014
494,"Superconnected: The Internet, Digital Media, and Techno-Social Life",Chayko Mary.,Chayko Mary.,english
495,The Happiness Effect: How Social Media is Driving a Generation to Appear Perfect at Any Cost,Oxford University Press Inc,"Donna Freitas, Christian Smith",2017
496,Mining the Social Web,"O'Reilly Media, Inc","Klassen, Mikhail, Russell, Matthew A",2019
497,"Affect and Social Media: Emotion, Mediation, Anxiety and Contagion",Rowman & Littlefield,"Tony D. Sampson, Stephen Maddison, Darren Ellis",2018
498,"Social Media and Politics in Africa: Democracy, Censorship and Security",Zed Books,Maggie Dwyer and Thomas Molony,2019
499,Public Relations and the Social Web: How to Use Social Media and Web 2.0 in Communications,Kogan Page,Rob Brown,2009
